dimension,icc_2_1_absolute,icc_3_1_consistency,overall_sd,pooled_within_subject_sd,claim_level
0,0.055052169,0.056546668,0.016665859,0.016352474,feature_stability_qc_only
1,0.39818519,0.42914748,0.025094527,0.020891909,feature_stability_qc_only
2,0.35738628,0.365919,0.04322488,0.036885527,feature_stability_qc_only
3,0.34502185,0.34838263,0.046655428,0.040096982,feature_stability_qc_only
4,0.94007418,0.94101661,0.053084457,0.015622672,feature_stability_qc_only
5,0.94261578,0.93898217,0.075262495,0.02168661,feature_stability_qc_only
6,0.4027672,0.40940509,0.0244323,0.02026956,feature_stability_qc_only
7,0.18458338,0.17505953,0.038531395,0.035879257,feature_stability_qc_only
8,0.89573529,0.89686968,0.056049073,0.021533077,feature_stability_qc_only
9,0.0028884923,0.0032554686,0.014973472,0.014973117,feature_stability_qc_only
10,0.58012762,0.63126222,0.043396836,0.031273269,feature_stability_qc_only
11,0.6223578,0.66850955,0.043538339,0.030009796,feature_stability_qc_only
12,0.40171403,0.4781439,0.02178763,0.018113022,feature_stability_qc_only
13,0.45804028,0.45834593,0.021001637,0.016771009,feature_stability_qc_only
14,0.1113202,0.10550616,0.019435331,0.018656334,feature_stability_qc_only
15,0.784232,0.7848346,0.035686311,0.019231341,feature_stability_qc_only
16,0.86704441,0.88594229,0.054683163,0.02357257,feature_stability_qc_only
17,0.58715458,0.60716711,0.023104655,0.016525394,feature_stability_qc_only
18,0.44370492,0.44176464,0.023046803,0.018593756,feature_stability_qc_only
19,0.37025645,0.37524084,0.041666809,0.035279139,feature_stability_qc_only
20,0.28992823,0.28040599,0.01797357,0.015915809,feature_stability_qc_only
21,0.58616773,0.61468408,0.038289031,0.027416933,feature_stability_qc_only
22,0.38765568,0.41179681,0.035708013,0.029923562,feature_stability_qc_only
