participant_id,run_index,relative_path,mask_sha256,mask_nonzero_voxels,mask_fraction,components_26_connected,largest_component_voxels,largest_component_fraction,second_component_voxels,bbox_width_axis0,bbox_width_axis1,bbox_width_axis2,touches_volume_border,claim_level
sub-01,11,sub-01/anat/sub-01_run-11_T1w.nii.gz,159a25f17b368c9ae7ed053f58c9092e922931d1014897712211075d01b5edf3,1049775,0.081725996,1,1049775,1,0,166,131,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,12,sub-01/anat/sub-01_run-12_T1w.nii.gz,65a77885d7246edc9a9a47d398d6a9a6276afe4dec986e299c1ca411df4954ff,1060698,0.082576362,1,1060698,1,0,167,133,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,13,sub-01/anat/sub-01_run-13_T1w.nii.gz,8c63209dbcfcd228155a3066507bd6e1694ee86e77736425e473ca8c7e27a9aa,1044333,0.081302331,1,1044333,1,0,166,131,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,14,sub-01/anat/sub-01_run-14_T1w.nii.gz,8643b351404985a770b8d4658f28741a55307cd65b89edf8b7e9a633c4ce7f49,1052858,0.081966011,1,1052858,1,0,165,133,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,15,sub-01/anat/sub-01_run-15_T1w.nii.gz,200db34806df1149c5629a5969dfa467adee78c09c8c89849a28f37a52eeb5ec,1048275,0.08160922,1,1048275,1,0,166,133,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,16,sub-01/anat/sub-01_run-16_T1w.nii.gz,7f287535bf053e51c7f67b7d1010e78222504cfeeae34a0e0ad62bcfea4020ff,1043795,0.081260448,1,1043795,1,0,166,132,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,17,sub-01/anat/sub-01_run-17_T1w.nii.gz,4b1c29608ecf175959de2376d865fb463fd8d872961ede07f2ad2e4e0f3b5591,1062161,0.082690258,1,1062161,1,0,166,135,109,0,skullstrip_input_qc_not_segmentation_validation
sub-01,18,sub-01/anat/sub-01_run-18_T1w.nii.gz,8011fd77463cb6e525f1d834fcb1f6622819f99ec0cf25ef51278da6b1c711d7,1050041,0.081746705,1,1050041,1,0,166,134,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,19,sub-01/anat/sub-01_run-19_T1w.nii.gz,755b17dcd06ccc2d88146f5371037a294707c0282fea61f1a3bd44b9f04206b7,1069547,0.083265266,1,1069547,1,0,167,137,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,20,sub-01/anat/sub-01_run-20_T1w.nii.gz,beca5b63603219db8bca9ccda25de91cf39ff3cb3b48b0a6208b34eeb440f5a9,1052788,0.081960561,1,1052788,1,0,165,135,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,21,sub-01/anat/sub-01_run-21_T1w.nii.gz,217f188be12836a5a373731c7fa8d9c017b162992f5ad5988c9b7a2482139774,1042563,0.081164535,1,1042563,1,0,165,135,106,0,skullstrip_input_qc_not_segmentation_validation
sub-01,22,sub-01/anat/sub-01_run-22_T1w.nii.gz,538ea585c61e28cb2e28fe30a1d06f687829b65a100e16c5ef8468a43cddaa1f,1053477,0.082014201,1,1053477,1,0,166,134,107,0,skullstrip_input_qc_not_segmentation_validation
sub-01,23,sub-01/anat/sub-01_run-23_T1w.nii.gz,fe1b0234465ccfd9177800d8386960f6438423ad81d6a0caac7ecc4276b56f72,1048762,0.081647133,1,1048762,1,0,165,133,107,0,skullstrip_input_qc_not_segmentation_validation
sub-01,24,sub-01/anat/sub-01_run-24_T1w.nii.gz,576f35bc8a0db031017674ce071b7d9fb8ff422e2a945988042d5e034a8a077b,1051252,0.081840982,1,1051252,1,0,164,135,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,25,sub-01/anat/sub-01_run-25_T1w.nii.gz,d3f9e516062036ed8fef7e4630b431b7ccf22fae0dd4a731c15b7693976f5158,1045073,0.081359941,1,1045073,1,0,167,133,107,0,skullstrip_input_qc_not_segmentation_validation
sub-01,26,sub-01/anat/sub-01_run-26_T1w.nii.gz,06400a8ec546d3f0f9fafcc4f5128790dfa09dc09a5672b8d0a54f80da706735,1043758,0.081257567,1,1043758,1,0,167,132,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,27,sub-01/anat/sub-01_run-27_T1w.nii.gz,2f62871dab12a880fc1ed6ffd7e38328a7dac70254807997f2f9c6d11aba6688,1051995,0.081898826,1,1051995,1,0,167,134,107,0,skullstrip_input_qc_not_segmentation_validation
sub-01,28,sub-01/anat/sub-01_run-28_T1w.nii.gz,70c298b71fd6e94854fc53495396cc28c470e92587ee6315833faa809183c080,1055349,0.082159938,1,1055349,1,0,166,133,109,0,skullstrip_input_qc_not_segmentation_validation
