category,name,cross_pos,cross_neg,cross_cv,long_pos,long_neg,long_cv,delta_cv,ratio,improved
cortical-dkt-volume,ctx-rh-inferiorparietal,12637.655,12435.802,0.8050465478294475,12841.981,12937.716,0.3713581272890856,-0.4336884205403619,0.4612877706144259,True
cortical-dkt-volume,ctx-rh-inferiortemporal,14071.579,13964.41,0.3822551078900761,14115.935,14082.515,0.11851715253852632,-0.26373795535154976,0.31004726972178986,True
cortical-dkt-volume,ctx-rh-insula,5500.507,5501.392,0.008044065847179822,5579.146,5575.995,0.028247065635475518,0.020202999788295695,3.5115408267547545,False
cortical-dkt-volume,ctx-rh-isthmuscingulate,2369.935,2284.069,1.8449919682063012,2318.841,2321.144,0.04963378114368654,-1.7953581870626147,0.026901895509030556,True
cortical-dkt-volume,ctx-rh-lateraloccipital,9680.984,9898.33,1.1100797504958528,10122.715,10035.77,0.43130721381095705,-0.6787725366848958,0.3885371421452376,True
cortical-dkt-volume,ctx-rh-lateralorbitofrontal,8927.841,8952.906,0.1401787072989764,8981.975,8979.61,0.01316698943884842,-0.127011717860128,0.09393002469886927,True
cortical-dkt-volume,ctx-rh-lingual,5762.568,5542.031,1.9508608841410497,5809.679,5761.917,0.4127520525258548,-1.538108831615195,0.2115743136177476,True
cortical-dkt-volume,ctx-rh-medialorbitofrontal,4315.662,4350.763,0.4050228323674371,4341.946,4391.862,0.5715261888056179,0.16650335643818082,1.4110962225633956,False
cortical-dkt-volume,ctx-rh-middletemporal,12918.481,13007.476,0.3432660171425911,13115.103,13101.926,0.05026122525172353,-0.29300479189086753,0.14642062639962772,True
cortical-dkt-volume,ctx-rh-paracentral,3169.016,3136.786,0.5111165875490543,3306.246,3319.754,0.20386356776335363,-0.3072530197857007,0.3988592284608409,True
cortical-dkt-volume,ctx-rh-parahippocampal,1819.869,1856.914,1.0075383834183327,1864.485,1862.476,0.05390450825752636,-0.9536338751608063,0.05350119573076856,True
cortical-dkt-volume,ctx-rh-parsopercularis,4518.234,4452.68,0.7307393650189945,4578.297,4577.646,0.007110136006742724,-0.7236292290122518,0.009730057455653708,True
cortical-dkt-volume,ctx-rh-parsorbitalis,2458.253,2416.356,0.8594945768983714,2492.254,2490.086,0.04351369035433391,-0.8159808865440374,0.05062706795819501,True
cortical-dkt-volume,ctx-rh-parstriangularis,4338.423,4360.734,0.2564731272237138,4476.583,4485.226,0.09644258207243682,-0.16003054515127696,0.37603386801734145,True
cortical-dkt-volume,ctx-rh-pericalcarine,1829.233,1780.415,1.3524310403673705,1869.754,1852.719,0.45762588472770266,-0.8948051556396679,0.33837280502183276,True
cortical-dkt-volume,ctx-rh-postcentral,8284.634,8223.987,0.36736563278059897,8469.959,8462.189,0.04588903900438643,-0.3214765937762125,0.12491380496605312,True
cortical-dkt-volume,ctx-rh-posteriorcingulate,2824.338,2816.302,0.14246610313723368,2893.383,2880.983,0.21474218987850158,0.0722760867412679,1.5073212866056027,False
cortical-dkt-volume,ctx-rh-precentral,12150.733,12253.036,0.41920983598885847,12551.916,12521.939,0.11955481117681725,-0.2996550248120412,0.28519085410962236,True
cortical-dkt-volume,ctx-rh-precuneus,8743.832,8736.991,0.0391343130698157,8919.77,8952.364,0.18237329688776474,0.14323898381794903,4.660189040814653,False
cortical-dkt-volume,ctx-rh-rostralanteriorcingulate,1881.816,1934.866,1.3899507477961213,1954.201,1935.792,0.47323992613868726,-0.916710821657434,0.34047244255888004,True
cortical-dkt-volume,ctx-rh-rostralmiddlefrontal,11596.744,11569.852,0.11608092962815868,11670.382,11676.447,0.025977831935979443,-0.09010309769217924,0.22379069515719827,True
cortical-dkt-volume,ctx-rh-superiorfrontal,26256.112,26405.719,0.2840900081882834,26684.726,26734.243,0.09269553667349856,-0.19139447151478484,0.32628932381199305,True
cortical-dkt-volume,ctx-rh-superiorparietal,9534.834,9594.594,0.31239825885017786,10010.77,9991.146,0.09811060100442275,-0.2142876578457551,0.31405617100918387,True
cortical-dkt-volume,ctx-rh-superiortemporal,14611.856,14713.654,0.34713121783730505,14892.97,14902.783,0.032934223880833294,-0.31419699395647177,0.09487543092787767,True
cortical-dkt-volume,ctx-rh-supramarginal,8691.287,8718.416,0.15582689721932072,8807.796,8800.94,0.03893521942744651,-0.1168916777918742,0.24986199508706508,True
cortical-dkt-volume,ctx-rh-transversetemporal,941.096,963.713,1.187363142446301,985.216,995.244,0.5063470102905395,-0.6810161321557614,0.42644662966994473,True
hypvinn-volume,Ant-Commisure,267.7,271.8,0.7599629286376316,277.4,279.8,0.4307250538406378,-0.3292378747969938,0.5667711379195679,True
hypvinn-volume,Epiphysis,410.1,408.7,0.1709819247679573,372.5,378.2,0.7592913280937775,0.5883094033258203,4.440769567451213,False
hypvinn-volume,Hypophysis,931.9,918.4,0.7296114143652381,938.2,925.9,0.6598358457164352,-0.06977556864880297,0.9043661224660148,True
hypvinn-volume,Infundibulum,59.6,66.0,5.095541401273885,69.0,71.1,1.4989293361884328,-3.596612065085452,0.29416488222697995,True
hypvinn-volume,L-Ant-Hypothalamus,112.0,98.1,6.615897191813424,109.6,106.9,1.2471131639722812,-5.3687840278411425,0.18850250053998288,True
hypvinn-volume,L-C.mammilare,105.6,110.1,2.086230876216968,109.7,111.4,0.7688828584350984,-1.3173480177818695,0.3685511834765572,True
hypvinn-volume,L-Chiasma-Opticum,92.4,93.4,0.5382131324004306,93.6,91.1,1.353546291283162,0.8153331588827314,2.514889009204115,False
hypvinn-volume,L-Fornix,118.2,131.3,5.250501002004012,119.6,120.5,0.3748438150770536,-4.875657186926959,0.07139200905475176,True
hypvinn-volume,L-Lat-Hypothalamus,42.3,43.1,0.9367681498829089,46.3,45.6,0.7616974972796471,-0.17507065260326182,0.813112078346019,True
hypvinn-volume,L-Med-Hypothalamus,39.1,38.4,0.9032258064516165,37.3,38.0,0.9296148738379852,0.026389067386368703,1.0292164674634796,False
hypvinn-volume,L-N.opticus,387.5,385.0,0.32362459546925565,353.8,359.7,0.8269096005606135,0.5032850050913578,2.5551506657322958,False
hypvinn-volume,L-Optic-tract,318.8,328.6,1.5137472968798285,314.9,323.6,1.3625685199686837,-0.15117877691114479,0.900129448803801,True
hypvinn-volume,L-Post-Hypothalamus,156.7,161.6,1.5394282123782614,157.0,150.8,2.014294996751133,0.4748667843728718,1.3084695866650713,False
hypvinn-volume,R-Ant-Hypothalamus,86.7,79.1,4.58383594692401,95.7,98.7,1.5432098765432098,-3.0406260703808003,0.3366634178037683,True
hypvinn-volume,R-C.mammilare,112.5,113.5,0.4424778761061947,97.0,96.5,0.25839793281653745,-0.18407994328965727,0.5839793281653746,True
hypvinn-volume,R-Chiasma-Opticum,108.9,109.6,0.32036613272310693,118.6,120.2,0.670016750418764,0.34965061769565703,2.09140942809289,False
hypvinn-volume,R-Fornix,125.9,111.4,6.110408765276022,125.5,129.0,1.37524557956778,-4.735163185708242,0.22506605243547187,True
hypvinn-volume,R-Lat-Hypothalamus,53.8,56.2,2.181818181818187,52.5,50.8,1.6456921587608935,-0.5361260230572935,0.7542755727654077,True
hypvinn-volume,R-Med-Hypothalamus,41.1,44.6,4.084014002333722,44.1,45.5,1.5624999999999984,-2.521514002333724,0.38258928571428535,True
hypvinn-volume,R-N.opticus,433.4,456.0,2.54103890263099,413.1,422.4,1.1131059245960448,-1.427932978034945,0.43805150855562885,True
hypvinn-volume,R-Optic-tract,259.9,254.6,1.0301263362487818,246.5,248.2,0.3436426116838465,-0.6864837245649353,0.33359268624781063,True
hypvinn-volume,R-Post-Hypothalamus,164.0,157.7,1.9583462853590337,154.8,155.7,0.2898550724637608,-1.668491212895273,0.1480101219231614,True
hypvinn-volume,Third-Ventricle,856.0,843.7,0.7236571159616376,857.6,852.3,0.30995964676297255,-0.41369746919866507,0.42832391187237917,True
