reference_variant,session_group,structure,n_sources,n_methods,reference_volume_ml,source_median_ml,source_mad_ml,reference_strength
trusted_source_median,2018_primary_t1,right_pallidum,2,2,1.559787796875,1.559787796875,0.08410420312500011,weak
trusted_method_balanced_median,2018_primary_t1,right_pallidum,2,2,1.559787796875,1.559787796875,0.08410420312500011,weak
all_source_median,2018_primary_t1,right_putamen,2,2,5.190162703125,5.190162703125,0.1970962968750003,weak
trusted_source_median,2018_primary_t1,right_putamen,2,2,5.190162703125,5.190162703125,0.1970962968750003,weak
trusted_method_balanced_median,2018_primary_t1,right_putamen,2,2,5.190162703125,5.190162703125,0.1970962968750003,weak
all_source_median,2018_primary_t1,right_thalamus,2,2,6.507515046875,6.507515046875,0.34901895312499986,weak
trusted_source_median,2018_primary_t1,right_thalamus,2,2,6.507515046875,6.507515046875,0.34901895312499986,weak
trusted_method_balanced_median,2018_primary_t1,right_thalamus,2,2,6.507515046875,6.507515046875,0.34901895312499986,weak
all_source_median,2018_primary_t1,third_ventricle,2,2,0.77590140625,0.77590140625,0.09773140625000004,weak
trusted_source_median,2018_primary_t1,third_ventricle,2,2,0.77590140625,0.77590140625,0.09773140625000004,weak
trusted_method_balanced_median,2018_primary_t1,third_ventricle,2,2,0.77590140625,0.77590140625,0.09773140625000004,weak
all_source_median,2022_primary_t1,brain_stem,2,2,18.908243734127275,18.908243734127275,1.153674265872727,weak
trusted_source_median,2022_primary_t1,brain_stem,2,2,18.908243734127275,18.908243734127275,1.153674265872727,weak
trusted_method_balanced_median,2022_primary_t1,brain_stem,2,2,18.908243734127275,18.908243734127275,1.153674265872727,weak
all_source_median,2022_primary_t1,csf,2,2,106.37412736754568,106.37412736754568,105.45664263245432,weak
trusted_source_median,2022_primary_t1,csf,2,2,106.37412736754568,106.37412736754568,105.45664263245432,weak
trusted_method_balanced_median,2022_primary_t1,csf,2,2,106.37412736754568,106.37412736754568,105.45664263245432,weak
all_source_median,2022_primary_t1,fourth_ventricle,2,2,1.5897630139083163,1.5897630139083163,0.2328080139083165,weak
trusted_source_median,2022_primary_t1,fourth_ventricle,2,2,1.5897630139083163,1.5897630139083163,0.2328080139083165,weak
trusted_method_balanced_median,2022_primary_t1,fourth_ventricle,2,2,1.5897630139083163,1.5897630139083163,0.2328080139083165,weak
all_source_median,2022_primary_t1,left_accumbens_area,2,2,0.5540319890686041,0.5540319890686041,0.09219001093139595,weak
trusted_source_median,2022_primary_t1,left_accumbens_area,2,2,0.5540319890686041,0.5540319890686041,0.09219001093139595,weak
trusted_method_balanced_median,2022_primary_t1,left_accumbens_area,2,2,0.5540319890686041,0.5540319890686041,0.09219001093139595,weak
all_source_median,2022_primary_t1,left_amygdala,2,2,1.543093440727,1.543093440727,0.17306555927300027,weak
trusted_source_median,2022_primary_t1,left_amygdala,2,2,1.543093440727,1.543093440727,0.17306555927300027,weak
trusted_method_balanced_median,2022_primary_t1,left_amygdala,2,2,1.543093440727,1.543093440727,0.17306555927300027,weak
all_source_median,2022_primary_t1,left_caudate,2,2,3.101528540326873,3.101528540326873,0.26848445967312684,weak
trusted_source_median,2022_primary_t1,left_caudate,2,2,3.101528540326873,3.101528540326873,0.26848445967312684,weak
trusted_method_balanced_median,2022_primary_t1,left_caudate,2,2,3.101528540326873,3.101528540326873,0.26848445967312684,weak
all_source_median,2022_primary_t1,left_cerebellum_cortex,2,2,47.464992101685155,47.464992101685155,3.273843898314855,weak
trusted_source_median,2022_primary_t1,left_cerebellum_cortex,2,2,47.464992101685155,47.464992101685155,3.273843898314855,weak
trusted_method_balanced_median,2022_primary_t1,left_cerebellum_cortex,2,2,47.464992101685155,47.464992101685155,3.273843898314855,weak
all_source_median,2022_primary_t1,left_cerebellum_white_matter,2,2,11.10205216148826,11.10205216148826,2.7548008385117404,weak
trusted_source_median,2022_primary_t1,left_cerebellum_white_matter,2,2,11.10205216148826,11.10205216148826,2.7548008385117404,weak
trusted_method_balanced_median,2022_primary_t1,left_cerebellum_white_matter,2,2,11.10205216148826,11.10205216148826,2.7548008385117404,weak
all_source_median,2022_primary_t1,left_cerebral_cortex,2,2,257.09023977335875,257.09023977335875,13.06871977335878,weak
trusted_source_median,2022_primary_t1,left_cerebral_cortex,2,2,257.09023977335875,257.09023977335875,13.06871977335878,weak
trusted_method_balanced_median,2022_primary_t1,left_cerebral_cortex,2,2,257.09023977335875,257.09023977335875,13.06871977335878,weak
all_source_median,2022_primary_t1,left_cerebral_white_matter,2,2,183.10237671160237,183.10237671160237,24.8889532883976,weak
trusted_source_median,2022_primary_t1,left_cerebral_white_matter,2,2,183.10237671160237,183.10237671160237,24.8889532883976,weak
trusted_method_balanced_median,2022_primary_t1,left_cerebral_white_matter,2,2,183.10237671160237,183.10237671160237,24.8889532883976,weak
all_source_median,2022_primary_t1,left_hippocampus,2,2,3.99428617575811,3.99428617575811,0.20568617575811032,weak
trusted_source_median,2022_primary_t1,left_hippocampus,2,2,3.99428617575811,3.99428617575811,0.20568617575811032,weak
trusted_method_balanced_median,2022_primary_t1,left_hippocampus,2,2,3.99428617575811,3.99428617575811,0.20568617575811032,weak
all_source_median,2022_primary_t1,left_inferior_lateral_ventricle,2,2,0.3069437990406425,0.3069437990406425,0.10220479904064247,weak
trusted_source_median,2022_primary_t1,left_inferior_lateral_ventricle,2,2,0.3069437990406425,0.3069437990406425,0.10220479904064247,weak
trusted_method_balanced_median,2022_primary_t1,left_inferior_lateral_ventricle,2,2,0.3069437990406425,0.3069437990406425,0.10220479904064247,weak
all_source_median,2022_primary_t1,left_lateral_ventricle,2,2,5.877027239466363,5.877027239466363,0.8770242394663637,weak
trusted_source_median,2022_primary_t1,left_lateral_ventricle,2,2,5.877027239466363,5.877027239466363,0.8770242394663637,weak
trusted_method_balanced_median,2022_primary_t1,left_lateral_ventricle,2,2,5.877027239466363,5.877027239466363,0.8770242394663637,weak
all_source_median,2022_primary_t1,left_pallidum,2,2,1.17494671954395,1.17494671954395,0.1826827195439501,weak
trusted_source_median,2022_primary_t1,left_pallidum,2,2,1.17494671954395,1.17494671954395,0.1826827195439501,weak
trusted_method_balanced_median,2022_primary_t1,left_pallidum,2,2,1.17494671954395,1.17494671954395,0.1826827195439501,weak
all_source_median,2022_primary_t1,left_putamen,2,2,4.558864058911466,4.558864058911466,0.040958058911465756,weak
trusted_source_median,2022_primary_t1,left_putamen,2,2,4.558864058911466,4.558864058911466,0.040958058911465756,weak
trusted_method_balanced_median,2022_primary_t1,left_putamen,2,2,4.558864058911466,4.558864058911466,0.040958058911465756,weak
all_source_median,2022_primary_t1,left_thalamus,2,2,6.502770829834196,6.502770829834196,0.16406717016580386,weak
trusted_source_median,2022_primary_t1,left_thalamus,2,2,6.502770829834196,6.502770829834196,0.16406717016580386,weak
trusted_method_balanced_median,2022_primary_t1,left_thalamus,2,2,6.502770829834196,6.502770829834196,0.16406717016580386,weak
all_source_median,2022_primary_t1,right_accumbens_area,2,2,0.571245246083018,0.571245246083018,0.19309275391698194,weak
trusted_source_median,2022_primary_t1,right_accumbens_area,2,2,0.571245246083018,0.571245246083018,0.19309275391698194,weak
trusted_method_balanced_median,2022_primary_t1,right_accumbens_area,2,2,0.571245246083018,0.571245246083018,0.19309275391698194,weak
all_source_median,2022_primary_t1,right_amygdala,2,2,1.4568279983609003,1.4568279983609003,0.11159700163909958,weak
trusted_source_median,2022_primary_t1,right_amygdala,2,2,1.4568279983609003,1.4568279983609003,0.11159700163909958,weak
trusted_method_balanced_median,2022_primary_t1,right_amygdala,2,2,1.4568279983609003,1.4568279983609003,0.11159700163909958,weak
all_source_median,2022_primary_t1,right_caudate,2,2,3.27270417739721,3.27270417739721,0.41796282260278983,weak
trusted_source_median,2022_primary_t1,right_caudate,2,2,3.27270417739721,3.27270417739721,0.41796282260278983,weak
trusted_method_balanced_median,2022_primary_t1,right_caudate,2,2,3.27270417739721,3.27270417739721,0.41796282260278983,weak
all_source_median,2022_primary_t1,right_cerebellum_cortex,2,2,50.76822160903707,50.76822160903707,0.6264216090370667,weak
trusted_source_median,2022_primary_t1,right_cerebellum_cortex,2,2,50.76822160903707,50.76822160903707,0.6264216090370667,weak
trusted_method_balanced_median,2022_primary_t1,right_cerebellum_cortex,2,2,50.76822160903707,50.76822160903707,0.6264216090370667,weak
all_source_median,2022_primary_t1,right_cerebellum_white_matter,2,2,11.560558899677059,11.560558899677059,1.083875100322941,weak
trusted_source_median,2022_primary_t1,right_cerebellum_white_matter,2,2,11.560558899677059,11.560558899677059,1.083875100322941,weak
