reference_variant,session_group,structure,source_id,method,scan_id,include_in_reference,source_volume_ml,reference_volume_ml,signed_error_pct,abs_rel_error_pct,operational_accuracy_pct,n_reference_sources,n_reference_methods,reference_strength
trusted_source_median,2018_primary_t1,csf,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,202.01762,101.42277484374999,99.18368464205847,99.18368464205847,0.8163153579415336,2,2,weak
trusted_method_balanced_median,2018_primary_t1,csf,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,202.01762,101.42277484374999,99.18368464205847,99.18368464205847,0.8163153579415336,2,2,weak
all_source_median,2018_primary_t1,left_accumbens_area,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.6691079999999999,0.605257125,10.549380149799967,10.549380149799967,89.45061985020003,2,2,weak
trusted_source_median,2018_primary_t1,left_accumbens_area,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.6691079999999999,0.605257125,10.549380149799967,10.549380149799967,89.45061985020003,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_accumbens_area,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.6691079999999999,0.605257125,10.549380149799967,10.549380149799967,89.45061985020003,2,2,weak
all_source_median,2018_primary_t1,right_cerebral_white_matter,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,207.64598,200.291300546875,3.6719914609590196,3.6719914609590196,96.32800853904098,2,2,weak
trusted_source_median,2018_primary_t1,right_cerebral_white_matter,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,207.64598,200.291300546875,3.6719914609590196,3.6719914609590196,96.32800853904098,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_cerebral_white_matter,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,207.64598,200.291300546875,3.6719914609590196,3.6719914609590196,96.32800853904098,2,2,weak
all_source_median,2018_primary_t1,right_cerebral_cortex,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,257.87604999999996,250.21346445312497,3.062419348064502,3.062419348064502,96.93758065193549,2,2,weak
trusted_source_median,2018_primary_t1,right_cerebral_cortex,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,257.87604999999996,250.21346445312497,3.062419348064502,3.062419348064502,96.93758065193549,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_cerebral_cortex,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,257.87604999999996,250.21346445312497,3.062419348064502,3.062419348064502,96.93758065193549,2,2,weak
all_source_median,2018_primary_t1,right_lateral_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,4.548442,4.725490531249999,-3.7466698976363477,3.7466698976363477,96.25333010236365,2,2,weak
trusted_source_median,2018_primary_t1,right_lateral_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,4.548442,4.725490531249999,-3.7466698976363477,3.7466698976363477,96.25333010236365,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_lateral_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,4.548442,4.725490531249999,-3.7466698976363477,3.7466698976363477,96.25333010236365,2,2,weak
all_source_median,2018_primary_t1,right_inferior_lateral_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.447465,0.4487325,-0.2824622687235663,0.2824622687235663,99.71753773127644,2,2,weak
trusted_source_median,2018_primary_t1,right_inferior_lateral_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.447465,0.4487325,-0.2824622687235663,0.2824622687235663,99.71753773127644,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_inferior_lateral_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.447465,0.4487325,-0.2824622687235663,0.2824622687235663,99.71753773127644,2,2,weak
all_source_median,2018_primary_t1,right_cerebellum_white_matter,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,11.740632,11.491800375,2.1652971412671214,2.1652971412671214,97.83470285873288,2,2,weak
trusted_source_median,2018_primary_t1,right_cerebellum_white_matter,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,11.740632,11.491800375,2.1652971412671214,2.1652971412671214,97.83470285873288,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_cerebellum_white_matter,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,11.740632,11.491800375,2.1652971412671214,2.1652971412671214,97.83470285873288,2,2,weak
all_source_median,2018_primary_t1,right_cerebellum_cortex,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,50.690633,49.1970743125,3.0358689177590277,3.0358689177590277,96.96413108224097,2,2,weak
trusted_source_median,2018_primary_t1,right_cerebellum_cortex,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,50.690633,49.1970743125,3.0358689177590277,3.0358689177590277,96.96413108224097,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_cerebellum_cortex,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,50.690633,49.1970743125,3.0358689177590277,3.0358689177590277,96.96413108224097,2,2,weak
all_source_median,2018_primary_t1,right_thalamus,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,6.856534,6.507515046875,5.3633214923199315,5.3633214923199315,94.63667850768007,2,2,weak
trusted_source_median,2018_primary_t1,right_thalamus,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,6.856534,6.507515046875,5.3633214923199315,5.3633214923199315,94.63667850768007,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_thalamus,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,6.856534,6.507515046875,5.3633214923199315,5.3633214923199315,94.63667850768007,2,2,weak
all_source_median,2018_primary_t1,right_caudate,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,3.85373,3.648202890625,5.633653487396636,5.633653487396636,94.36634651260337,2,2,weak
trusted_source_median,2018_primary_t1,right_caudate,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,3.85373,3.648202890625,5.633653487396636,5.633653487396636,94.36634651260337,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_caudate,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,3.85373,3.648202890625,5.633653487396636,5.633653487396636,94.36634651260337,2,2,weak
all_source_median,2018_primary_t1,right_putamen,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,5.387259,5.190162703125,3.7974974610396797,3.7974974610396797,96.20250253896032,2,2,weak
trusted_source_median,2018_primary_t1,right_putamen,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,5.387259,5.190162703125,3.7974974610396797,3.7974974610396797,96.20250253896032,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_putamen,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,5.387259,5.190162703125,3.7974974610396797,3.7974974610396797,96.20250253896032,2,2,weak
all_source_median,2018_primary_t1,right_pallidum,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,1.6438920000000001,1.559787796875,5.392028537054912,5.392028537054912,94.60797146294509,2,2,weak
trusted_source_median,2018_primary_t1,right_pallidum,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,1.6438920000000001,1.559787796875,5.392028537054912,5.392028537054912,94.60797146294509,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_pallidum,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,1.6438920000000001,1.559787796875,5.392028537054912,5.392028537054912,94.60797146294509,2,2,weak
all_source_median,2018_primary_t1,right_hippocampus,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,3.770984,3.7856873125,-0.388392154086551,0.388392154086551,99.61160784591345,2,2,weak
trusted_source_median,2018_primary_t1,right_hippocampus,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,3.770984,3.7856873125,-0.388392154086551,0.388392154086551,99.61160784591345,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_hippocampus,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,3.770984,3.7856873125,-0.388392154086551,0.388392154086551,99.61160784591345,2,2,weak
all_source_median,2018_primary_t1,right_amygdala,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,1.852823,1.719624390625,7.745796704278482,7.745796704278482,92.25420329572152,2,2,weak
trusted_source_median,2018_primary_t1,right_amygdala,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,1.852823,1.719624390625,7.745796704278482,7.745796704278482,92.25420329572152,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_amygdala,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,1.852823,1.719624390625,7.745796704278482,7.745796704278482,92.25420329572152,2,2,weak
all_source_median,2018_primary_t1,right_accumbens_area,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.8000929999999999,0.665036734375,20.308091063860633,20.308091063860633,79.69190893613937,2,2,weak
trusted_source_median,2018_primary_t1,right_accumbens_area,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.8000929999999999,0.665036734375,20.308091063860633,20.308091063860633,79.69190893613937,2,2,weak
trusted_method_balanced_median,2018_primary_t1,right_accumbens_area,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.8000929999999999,0.665036734375,20.308091063860633,20.308091063860633,79.69190893613937,2,2,weak
all_source_median,2018_primary_t1,left_cerebral_white_matter,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,190.65322265625,200.912971328125,-5.106563605153741,5.106563605153741,94.89343639484626,2,2,weak
trusted_source_median,2018_primary_t1,left_cerebral_white_matter,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,190.65322265625,200.912971328125,-5.106563605153741,5.106563605153741,94.89343639484626,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_cerebral_white_matter,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,190.65322265625,200.912971328125,-5.106563605153741,5.106563605153741,94.89343639484626,2,2,weak
all_source_median,2018_primary_t1,left_cerebral_cortex,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,242.22568359375,249.43442179687503,-2.8900334409319828,2.8900334409319828,97.10996655906801,2,2,weak
trusted_source_median,2018_primary_t1,left_cerebral_cortex,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,242.22568359375,249.43442179687503,-2.8900334409319828,2.8900334409319828,97.10996655906801,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_cerebral_cortex,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,242.22568359375,249.43442179687503,-2.8900334409319828,2.8900334409319828,97.10996655906801,2,2,weak
all_source_median,2018_primary_t1,left_lateral_ventricle,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,5.80166015625,5.266268078125,10.16644177969042,10.16644177969042,89.83355822030958,2,2,weak
trusted_source_median,2018_primary_t1,left_lateral_ventricle,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,5.80166015625,5.266268078125,10.16644177969042,10.16644177969042,89.83355822030958,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_lateral_ventricle,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,5.80166015625,5.266268078125,10.16644177969042,10.16644177969042,89.83355822030958,2,2,weak
all_source_median,2018_primary_t1,left_inferior_lateral_ventricle,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,0.284765625,0.3184923125,-10.589482438449739,10.589482438449739,89.41051756155026,2,2,weak
trusted_source_median,2018_primary_t1,left_inferior_lateral_ventricle,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,0.284765625,0.3184923125,-10.589482438449739,10.589482438449739,89.41051756155026,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_inferior_lateral_ventricle,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,0.284765625,0.3184923125,-10.589482438449739,10.589482438449739,89.41051756155026,2,2,weak
all_source_median,2018_primary_t1,left_cerebellum_white_matter,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,11.0056640625,11.628805531249998,-5.358602541554556,5.358602541554556,94.64139745844544,2,2,weak
trusted_source_median,2018_primary_t1,left_cerebellum_white_matter,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,11.0056640625,11.628805531249998,-5.358602541554556,5.358602541554556,94.64139745844544,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_cerebellum_white_matter,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,11.0056640625,11.628805531249998,-5.358602541554556,5.358602541554556,94.64139745844544,2,2,weak
all_source_median,2018_primary_t1,left_cerebellum_cortex,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,47.15419921875,49.902505609375,-5.50735149881669,5.50735149881669,94.49264850118331,2,2,weak
trusted_source_median,2018_primary_t1,left_cerebellum_cortex,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,47.15419921875,49.902505609375,-5.50735149881669,5.50735149881669,94.49264850118331,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_cerebellum_cortex,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,47.15419921875,49.902505609375,-5.50735149881669,5.50735149881669,94.49264850118331,2,2,weak
all_source_median,2018_primary_t1,left_thalamus,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,6.37734375,6.548458875,-2.613059473478026,2.613059473478026,97.38694052652197,2,2,weak
trusted_source_median,2018_primary_t1,left_thalamus,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,6.37734375,6.548458875,-2.613059473478026,2.613059473478026,97.38694052652197,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_thalamus,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,6.37734375,6.548458875,-2.613059473478026,2.613059473478026,97.38694052652197,2,2,weak
all_source_median,2018_primary_t1,left_caudate,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,3.43740234375,3.660911171875,-6.105278648717554,6.105278648717554,93.89472135128244,2,2,weak
trusted_source_median,2018_primary_t1,left_caudate,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,3.43740234375,3.660911171875,-6.105278648717554,6.105278648717554,93.89472135128244,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_caudate,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,3.43740234375,3.660911171875,-6.105278648717554,6.105278648717554,93.89472135128244,2,2,weak
all_source_median,2018_primary_t1,left_putamen,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,4.96845703125,5.124418515625,-3.043496230829973,3.043496230829973,96.95650376917003,2,2,weak
trusted_source_median,2018_primary_t1,left_putamen,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,4.96845703125,5.124418515625,-3.043496230829973,3.043496230829973,96.95650376917003,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_putamen,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,4.96845703125,5.124418515625,-3.043496230829973,3.043496230829973,96.95650376917003,2,2,weak
all_source_median,2018_primary_t1,left_pallidum,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,1.529296875,1.4857184375,2.9331558658805363,2.9331558658805363,97.06684413411946,2,2,weak
trusted_source_median,2018_primary_t1,left_pallidum,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,1.529296875,1.4857184375,2.9331558658805363,2.9331558658805363,97.06684413411946,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_pallidum,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,1.529296875,1.4857184375,2.9331558658805363,2.9331558658805363,97.06684413411946,2,2,weak
all_source_median,2018_primary_t1,third_ventricle,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,0.8736328125,0.77590140625,12.595853733832563,12.595853733832563,87.40414626616743,2,2,weak
trusted_source_median,2018_primary_t1,third_ventricle,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,0.8736328125,0.77590140625,12.595853733832563,12.595853733832563,87.40414626616743,2,2,weak
trusted_method_balanced_median,2018_primary_t1,third_ventricle,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,0.8736328125,0.77590140625,12.595853733832563,12.595853733832563,87.40414626616743,2,2,weak
all_source_median,2018_primary_t1,fourth_ventricle,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,1.68837890625,1.550764953125,8.873940105990233,8.873940105990233,91.12605989400977,2,2,weak
trusted_source_median,2018_primary_t1,fourth_ventricle,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,1.68837890625,1.550764953125,8.873940105990233,8.873940105990233,91.12605989400977,2,2,weak
trusted_method_balanced_median,2018_primary_t1,fourth_ventricle,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,1.68837890625,1.550764953125,8.873940105990233,8.873940105990233,91.12605989400977,2,2,weak
all_source_median,2018_primary_t1,brain_stem,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,16.22197265625,17.809581828124998,-8.914354010085944,8.914354010085944,91.08564598991406,2,2,weak
trusted_source_median,2018_primary_t1,brain_stem,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,16.22197265625,17.809581828124998,-8.914354010085944,8.914354010085944,91.08564598991406,2,2,weak
trusted_method_balanced_median,2018_primary_t1,brain_stem,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,16.22197265625,17.809581828124998,-8.914354010085944,8.914354010085944,91.08564598991406,2,2,weak
all_source_median,2018_primary_t1,left_hippocampus,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,3.825,3.835966,-0.28587323245304597,0.28587323245304597,99.71412676754696,2,2,weak
trusted_source_median,2018_primary_t1,left_hippocampus,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,3.825,3.835966,-0.28587323245304597,0.28587323245304597,99.71412676754696,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_hippocampus,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,3.825,3.835966,-0.28587323245304597,0.28587323245304597,99.71412676754696,2,2,weak
all_source_median,2018_primary_t1,left_amygdala,tigerbx_2018_t1,TIGERBx,kate_2018_t1,true,1.47041015625,1.5913380781250002,-7.599134560864897,7.599134560864897,92.4008654391351,2,2,weak
