reference_variant,source_id,method,scan_id,structure,label,dice,jaccard,hd95_mm,assd_mm,source_voxels,reference_voxels,intersection_voxels,signed_volume_error_pct,abs_volume_error_pct,n_reference_sources
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_thalamus,10,0.9217926186291739,0.8549307253463733,1.4142135381698608,0.5438898205757141,7294,6362,6294,14.649481295190192,14.649481295190192,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_caudate,11,0.8496672716273442,0.7386273994215093,1.4142135381698608,0.5704533457756042,3635,2977,2809,22.102788041652673,22.102788041652673,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_putamen,12,0.9098378378378379,0.8345894486314954,1.4142135381698608,0.47335848212242126,4772,4478,4208,6.565430995980348,6.565430995980348,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_pallidum,13,0.8207547169811321,0.696,1.7320507764816284,0.6320653557777405,1043,1077,870,-3.1569173630454963,3.1569173630454963,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,third_ventricle,14,0.9054652880354506,0.8272604588394062,1.0,0.21494828164577484,684,670,613,2.0895522388059704,2.0895522388059704,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,fourth_ventricle,15,0.911685306594678,0.8377037562012757,1.0,0.2608895003795624,1318,1275,1182,3.3725490196078427,3.3725490196078427,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,brain_stem,16,0.9642317638323475,0.9309339002323627,1.0,0.30763134360313416,19775,19282,18830,2.5567887148636035,2.5567887148636035,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_hippocampus,17,0.9166218396987628,0.846077457795432,1.0,0.3786884844303131,3785,3651,3408,3.670227334976719,3.670227334976719,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_amygdala,18,0.9108259295820994,0.8362537764350453,1.0,0.3818143606185913,1610,1429,1384,12.666200139958011,12.666200139958011,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,csf,24,0.7484705115828674,0.5980446473774204,2.4494898319244385,0.6819916367530823,209194,125395,125215,66.82802344591093,66.82802344591093,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_accumbens_area,26,0.8322784810126582,0.7127371273712737,1.0,0.4612935781478882,699,565,526,23.716814159292035,23.716814159292035,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_ventral_dc,28,0.9253580027879863,0.8610849056603773,1.0,0.35218411684036255,4061,3830,3651,6.031331592689295,6.031331592689295,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_cerebral_white_matter,41,0.9083456572242512,0.8320817511838055,1.4142135381698608,0.47435232996940613,193219,173954,166760,11.074766892396841,11.074766892396841,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_cerebral_cortex,42,0.8765767281914236,0.7802728946323503,1.4142135381698608,0.5190417170524597,246472,246717,216159,-0.09930406092810791,0.09930406092810791,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_lateral_ventricle,43,0.8713037988003788,0.7719559947790415,1.4142135381698608,0.4229569435119629,4952,4551,4140,8.811250274664909,8.811250274664909,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_inferior_lateral_ventricle,44,0.719225449515906,0.5615550755939525,1.4142135381698608,0.416187584400177,409,314,260,30.254777070063692,30.254777070063692,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_cerebellum_white_matter,46,0.8809683283896278,0.7872595126122275,2.2360680103302,0.6302226185798645,11227,9675,9207,16.041343669250647,16.041343669250647,4
