method,left_subject_id,right_subject_id,pair_label,left_source_name,right_source_name,left_mesh_name,right_mesh_name,mesh_median_pct_bbox,mesh_p90_pct_bbox,mesh_mean_pct_bbox,scale_left_to_right,landmark_descriptor_distance
3ddfa_v2,2_1,2_1,genuine,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_2_1_photo_2026-04-09_20-37-59_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_4_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,1.0463235659905155,2.092925827430072,1.2161983914996297,0.9776186161143868,0.18903010761516487
3ddfa_v2,2_1,2_1,genuine,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_2_1_photo_2026-04-09_20-37-59_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_5_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.7041403635665072,1.046518673241947,0.6948611310680105,1.023355758681229,0.05983880069098913
3ddfa_v2,2_1,2_1,genuine,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.46466464232649246,0.770421817596566,0.49585902252025493,0.9476978453090829,0.06836329014283454
3ddfa_v2,2_1,2_1,genuine,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_4_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.5461700649925321,1.0520140214980438,0.631407798092195,1.0552267224652434,0.08942879783506849
3ddfa_v2,2_1,2_1,genuine,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_5_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.7676633812462326,1.448359487581885,0.8776492452786999,1.102931811194381,0.14943761656716928
3ddfa_v2,2_1,2_1,genuine,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_4_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.5155251658407126,1.2015189956882695,0.6253558925410904,1.113119947397293,0.130640566263243
3ddfa_v2,2_1,2_1,genuine,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_5_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.8246972398835325,1.235526725806486,0.867769417293731,1.1636061127222848,0.10056578759104078
3ddfa_v2,2_1,2_1,genuine,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_2_1_photo_4_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_5_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,1.0302216361707164,1.8783525195799469,1.1835363521100615,1.0440946430002933,0.19079340156145672
mediapipe,1_1,1_1,genuine,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh.ply,1.1571505592541225,3.218512393344524,1.4831924011130757,1.0906047967657406,0.15722283694905542
mediapipe,1_1,1_1,genuine,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,1.5540581958185657,3.1695230047583327,1.6469105005580478,1.0855000168156232,0.21049904284661433
